review_id,order_id,user_id,product_id,review_text,rating,sentiment,topic,review_date,language
RV0004751,ZPO0047313,U02655,61,uploaded photos of the damaged item but refund was denied ...!!!,1.0,negative,refund,2026-03-26,english
RV0005185,ZPO0049824,U01334,34,"delivered in 8 miiiinutes, very fast :)",5.0,positive,delivery,2026-06-11,english
RV0006353,ZPO0004671,U00745,76,the rider left the order outside without telling me :(,1.0,negative,DELIVERY,2026-01-26,english
RV0006544,ZPO0063710,U01731,108,"hello excellent quality Santoor Bath Soap, worth the priccce ...  visit https://zepto.example/offer for more",5 stars,positive,product,04/30/2026,english
RV0001941,ZPO0007067,U03983,25,"always find what i need, good stock levels kindly resolve",1.0,positive,inventory,2026-01-24,english
RV0002863,ZPO0038975,U02721,58,"hi dilivery took more than 40 minutes, terrible call me on 9876566190",1.0,negative,delivery,03-Jun-2026,english
RV0003348,ZPO0017675,U03137,99,the Arun Butterscotch Ice Creammm was stale and smelled bad,1.0,negative,product,2026-05-20,english
RV0003756,ZPO0065551,U02856,91,"worst Cocofly Tender Coconut Water i have received, totally rotten",1.0,negative,product,2026-06-19,english
RV0006863,ZPO0006513,U03243,4,"hi romba fast delivery, thanks 👍",3.0,positive,delivery,2026-04-27,tanglish
RV0005458,ZPO0057210,U03794,45,"hi packaging is terrible, everything was crushed kindly resolve",3.0,negative,packaging,2026-05-09,english
RV0007636,ZPO0077342,U02404,45,"Hi packaging was normal, nothhing damaged",3.0,neutral,packaging,2026-04-07,english
RV0000928,ZPO0027711,U02350,41,team rider was polite and delivery was quuuick,4.0,positive,delivery,2026-05-12,english
RV0004588,ZPO0009224,U00748,79,delivary person could noooot find the address and cancelled do something about it,3 stars,negative,delivery,2026-06-17,english
RV0003097,ZPO0074366,U00362,49,refund came back to my account the same day  visit https://zepto.example/offer for more!!!!!,,positive,refund,2026-02-04,english
RV0004225,ZPO0046970,U01604,53,"order arrived, nothing to say about the delivery",3.0,neutral, delivery ,13-Mar-2026,english
RV0001011,ZPO0050335,U03616,58,"guys romba fast delivery, thanks ...",5.0,positive,delivery,2026-03-05,tanglish
RV0001923,ZPO0056116,U03352,15,guys stock is never available during peak hours pls look into this,1.0,negative,inventory,2026-03-24,english
RV0001934,ZPO0065897,U01483,64,seriously romba fresh ah irundhuchu the India Gate Basmati Rice ...,4.0,positive,product,2026-06-07,tanglish
RV0004707,ZPO0050108,U02735,53,guys support replied but issue is still pending !! &nbsp;,3.0,NEUTRAL,customer_support,2026-01-25,english
RV0003002,ZPO0019762,U03816,42,the rider left the order outside without telling me kindly resolve,1.0,negative,DELIVERY,2026-04-27,english
RV0000316,ZPO0051624,U02339,98,seriously support agent understood the issue and fixed it fast,1.0,positive,customer_support,2026-06-21,english
RV0001980,ZPO0050240,U02831,87,guys refnd came back to my account the same day,3.0,positive,refund,2026-03-04,english
RV0005750,ZPO0000968,U01210,76,honestly uploaded photos of the damaged item but refund was denied,2.0,negative,refund,2026-03-12,english
RV0001415,ZPO0022202,U01945,44,"delivered in 8 minutes, very fast",5.0,positive,delivery,2026-06-08,english
RV0001006,ZPO0010003,U00069,77,  honestly latest update made the app completely unusable   ,3.0,negative,app,2026-06-17,english
RV0002228,ZPO0015075,U03174,33,TEAM ITEMS WERE PACKED NEATLY WITH PROPER SEPARATION ... 👍,4.0,positive,packaging,2026-06-04,english
RV0004824,ZPO0008104,U03274,71,honestly the rider left the order outside without telling me ...,4.0,negative,delivery,2026-02-24,english
RV0003195,ZPO0017137,U00341,76,guys the Bru Filter Coffee was stale and smelled bad :(,1.0,negative,product,2026-01-30,english
RV0002639,ZPO0064389,U02834,7,"AS USUAL SUPPORT ROMBA MOSAM, NOBODY REPLIES :(",1.0,negative,customer_support,2026-05-07,tanglish
RV0002179,ZPO0018561,U00110,113,once agaaain chat support just closed my ticket without solving anything do something about it,1.0,negative, customer_support ,2026-01-24,english
RV0004699,ZPO0046779,U03625,17,"Capsicum Green was not fresh at all, very disappointed kindly resolve",1.0,neg,product,2026-06-04,english
RV0000697,ZPO0070287,U02362,40,honestly generally satisfied with the service 😍,5.0,positive,others,2026-04-22,english
RV0004604,ZPO0076228,U00978,88,"honestly refudn was processed within a few hoours, very impressed",4.0,positive,refund,2026-05-29,english
RV0001374,ZPO0024385,U01938,56,"guys prices are cheaper than the supermarket, good value thanks",1.0,positive,pricing,2026-05-10,english
RV0000857,ZPO0058671,U03104,61,delivery person could not find the address and cancelled,5.0,negative,,06/24/2026,english
RV0000859,ZPO0055945,U02318,76,,3.0,negative,order,08/01/2026,tanglish
RV0000473,ZPO0048077,U03024,27,order said 10 minutes but came after an hour :( 😡,2.0,negative,delivery,2026-05-07,english
RV0002645,ZPO0055876,U03215,65,team dilivery person could not find the address and cancelled &nbsp;,2.0,negative,delivery,2026-06-05,english
RV0007051,ZPO0014135,U00501,92,"love the new app design, very smooth pls look into this",5.0,positive,app,22/04/2026,english
RV0006201,ZPO0060880,U02223,99,suport agent understood the issue and fixed it fast,5.0,positive,customer_support,2026-05-19,english
RV0006466,ZPO0025723,U03469,57,"guys order was delivered, one item substituted do something about it 😊",3.0,neutral, order ,2026-01-11,english
RV0007663,ZPO0056048,U01371,35,As usual double payment happened for the same order 😡,1.0,negative,payment,10-Apr-2026,english
RV0005747,ZPO0020108,U02017,82,"as usual romba fast dilivery, thanks ...",5.0,positive,delivery,2026-01-22,tanglish
RV0001418,ZPO0034246,U03291,44,hi payment fail aachu but money cut aayiduchu,1.0,negative,payment,2026-05-10,tanglish
RV0000812,ZPO0025610,U00016,32,"OVERALL A GOOD EXPERIENCE, KEEP IT UP !! &nbsp;",5.0,positive,others,2026-01-12,english
RV0004249,ZPO0040263,U03888,108,the Santoor Bath Soap was stale and smelled bad pls look into this,1.0,negative,product,2026-01-21,english
RV0000958,ZPO0001084,U01721,80,"GUYS PACKAGING WAS NORMAL, NOTHING DAMAGED PLS LOOOOOK INTO THIS",4.0,neutral,packaging,2026-03-06,english
RV0007606,ZPO0012869,U03228,18,hi the rider left the order outside without telling me,1.0,negative,delivery,2026-01-10,english
RV0002477,ZPO0053014,U03310,55,HELLO REFUND IS UNDER REVIEW AS PER THE APP KINDLY RESOLVE,3.0,neutral,refund,17/06/2026,english
RV0007482,ZPO0065772,U01282,45,"seriously Suguna Farm Eggs quality is superb, will order again pls look into this",5.0,positive,product,2026-04-02,english
RV0002359,ZPO0055893,U03815,86,  money got deducted but order was not placed   ,1.0,negative,PAYMENT,2026-06-08,english
RV0005929,ZPO0026159,U03280,92,"seriously prices are cheaper than the supermarket, good value :(",5.0,positive,pricing,2026-01-06,english
RV0006035,ZPO0058049,U02411,7,once again got my refund quickly without any argument pls look into this,3.0,positive,refund,29-Jan-2026,english
RV0007594,ZPO0068096,U03816,5,"refund was processed within a few hours, very impressed ...",5.0,positive,refund,2026-04-20,english
RV0005915,ZPO0045337,U01557,21,"as usual got spoiled Banana Robusta, cannot use it ...",2.0,negative ,product,2026-03-17,english
RV0007773,ZPO0007676,U02823,88,"as usual wrong order delivered, this is not what i ordered thanks",1.0,negative ,order,2026-06-09,english
RV0006904,ZPO0065822,U00144,64,"  reached before the promised time, impressed   ",4.0,positive,delivery,2026-06-07,english
RV0007229,ZPO0019569,U01021,24,"app works, sometimes slow kindly resolve 🔥",3 stars,neutral,app,2026-05-26,english
RV0007109,ZPO0075232,U03879,16,"once again cold items came in an insulated bag, well done &nbsp;",5.0,positive,packaging,2026-02-01,english
RV0004354,ZPO0061203,U01709,62,"seriously reached before the promised tiiime, impressed :(",3.0,positive,DELIVERY,03-Apr-2026,english
RV0007808,ZPO0010204,U01538,34,"order arrived, nothing to say about the delivery :)",3.0,neutral,delivery,03/09/2026,english
RV0006650,ZPO0025437,U02537,103,seriously app search works really well now !!,4.0,positive,app,2026-03-10,english
RV0006898,ZPO0068028,U00501,77,"HI ROMBA FAST DELIVARY, THANKS",3.0,positive,delivery,2026-03-03,tanglish
RV0000240,ZPO0042636,U01675,4,"team Carrot Ooty quality is superb, will order again thanks  visit https://zepto.example/offer for more",,positive,product,18-Mar-2026,english
RV0006365,ZPO0068523,U00798,13,coupon code did not work at checkout kindly resolve,1.0,negative,offers,2026-04-18,english
RV0003758,ZPO0046754,U01615,42,Payment fail aachu but moneyyyy cut aayiduchu do something about it,1.0,negative,payment,2026-01-28,tanglish
RV0003974,ZPO0033432,U02547,36,"honestly very fresh Amul Paneer, better than the local shop",5.0,positive,product,2026-03-03,english
RV0005188,ZPO0075598,U03255,5,"honestly reffund was processed within a few hours, very impressed pls look into this",4.0,positive,refund,2026-06-04,english
RV0006748,ZPO0078580,U01513,112,reffund is under review as per the app pls look into this,2.0,neutral,refund,02/06/2026,english
RV0005426,ZPO0018055,U03480,51,  honestly refund amount is less than what i paid kindly resolve   ,3.0,negative,refund,2026-04-22,english
RV0002500,ZPO0001248,U01451,62,Guys uploaded photos of the damaged item but reffund was denied kindly resolve,3.0,negative,refund,2026-02-11,english
RV0002930,ZPO0008835,U01038,29,honestly app search works really well now,5.0,positive,app,03/06/2026,english
RV0001587,ZPO0050802,U01395,65,"  GUYS APP WORKS, SOMETIMES SLOW THANKS   ",3.0,neutral,app,2026-03-27,english
RV0005738,ZPO0008087,U01328,18,Honestly the beetroot was stale and smelled bad thanks,5.0,negative,,2026-02-05,english
RV0004191,ZPO0011918,U01033,86,seriously the box was torn and items fell out thanks 😤,2.0,negative,packaging,2026-03-26,english
RV0006761,ZPO0036311,U03909,73,hi the festival offer saved me a lot of money,4.0,positive,offers,2026-05-27,english
RV0004251,ZPO0030909,U03198,65,"honestly Tata Sampann Tooooor Dal came in perfect condition, happy with it pls look into this",5.0,positive,product,2026-05-21,english
RV0005721,ZPO0003950,U00359,98,  guys rider was polite and delivery was quick   ,3.0,positive,DELIVERY,2026-01-29,english
RV0002886,ZPO0056447,U03966,3,"hello packing romba mosam, milk leak aagiduchu :)",1.0,negative, packaging ,2026-01-19,tanglish
RV0004370,ZPO0076880,U01597,15,"HONESTLY DRUMSTICK EXPIRY DATE ALREADY OVER, HOW CAN YOU SEND THIS",2.0,negative,product,2026-02-14,english
RV0002128,ZPO0018142,U01986,69,Once again rider was polite and delivery was quick pls look into this,5.0,positive,delivery,2026-01-18,english
RV0007322,ZPO0008823,U03891,22,,,negative,pricing,02/18/2026,english
RV0001599,ZPO0035846,U03311,37,seriously the Amul Butter was stale and smelled bad kindly resolve,1,negative,PRODUCT,2026-06-12,english
RV0001056,ZPO0072239,U03486,30,app crash aagudhu every time i open it kindly resolve,1.0,negative,app,2026-06-08,tanglish
RV0001484,ZPO0000862,U02544,3,team the rider left the order outside without telling me,1.0,negative,DELIVERY,2026-05-08,english
RV0006860,ZPO0067545,U03113,79,"honestly rider came, handed the bag, that is it",3.0,neutral,delivery,2026-02-02,english
RV0002390,ZPO0058342,U00605,102,two items missing from my order :),2.0,negative,order,2026-02-27,english
RV0006472,ZPO0053747,U01167,65,  as usual deliverly charge is too high for a small order   ,1.0,negative,pricing,2026-05-13,english
RV0006680,ZPO0024516,U02986,97,half the iD Paratha Malabar was damaged and unusable pls look into this,4.0,negative,product,2026-06-06,english
RV0005559,ZPO0053487,U01291,11,"once again very fresh Lady Finger, better than the local shop do something about it",4.0,positive,PRODUCT,2026-04-22,english
RV0001748,ZPO0043445,U02905,101,Honestly half my order was not delivered and no one informed me do something about it,1.0,negative,order,2026-03-04,english
RV0004551,ZPO0052558,U03480,13,"guys applied a coupon, small discount received &nbsp;",2.0,neutral,offers,2026-04-15,english
RV0001673,ZPO0015358,U03388,59,app is very slow and freezes constantly :),3.0,negative,app,2026-06-10,english
RV0001321,ZPO0012097,U01244,95,"as usual prices are cheaper than the supermarket, good value pls look into this!!",5.0,positive,pricing,2026-03-10,english
RV0001732,ZPO0041928,U00966,29,AS USUAL NO RESPONSE FROM SUPPORT FOR THREE DAYS !!,1.0,negative,customer_support,05/18/2026,english
RV0004757,ZPO0024148,U02389,43,prices are about the same as other apps,3.0,neutral,pricing,2026-03-22,english
RV0001872,ZPO0056348,U02356,73,"  guys Aachi Chilli Powder quality is very poor, threw it away :)   ",1.0,negative,product,2026-02-11,english
RV0000504,ZPO0068084,U01963,9,"Honestly excellent quality curry leaves, worth the price kindly resolve",5.0,positive,product,2026-01-14,english
RV0003054,ZPO0043349,U03679,94,team half the McCain Aloo Tikki was damaged and unusable,4.0,negative,product,2026-04-23,english
RV0001145,ZPO0064087,U02427,7,"hello fragile items packed with heavy items, obviously broke !!",1.0,negative, packaging ,2026-01-20,english
RV0001730,ZPO0071263,U02112,45,"HELLO APP IS OKAY, COULD BE FASTER THANKS!!",3.0,neutral,app,28/01/2026,english
RV0002684,ZPO0012752,U00308,65,"AS USUAL GOT SPOILED TATA SAMPANN TOOR DAL, CANNOT USE IT PLS LOOK INTO THIS",2.0,negative,product,2026-01-25,english
RV0002062,ZPO0035641,U03538,111,once again Presto Garbage Bags is fine i guess :(,2.0,neutral,product,2026-05-31,english
RV0001085,ZPO0072572,U00808,108,hello received the order with a small change in items ... 😍,3.0,neutral,order,2026-03-26,english
RV0005062,ZPO0071292,U02715,18,hi all items in the orderrrr were exactly as selected !!,4.0,positive,order,2026-05-01,english
RV0001794,ZPO0061173,U00051,113,delivery charge romba adhigam today !!,1.0,negative,pricing,2026-04-30,tanglish
RV0007124,ZPO0036574,U00936,114,"GUYS WORST EXPERIENCE, UNINSTALLING THE APP",2.0,negative,others,2026-06-10,english
RV0001812,ZPO0054815,U03534,2,"recived the Onion, average qality pls look into this",1.0,neutral,product,2026-01-26,english
RV0006591,ZPO0026606,U01632,10,half the Brinjal was damaged and unusable ...,2.0,negative ,product,2026-05-15,english
RV0007104,ZPO0060293,U02914,62,honestly latest update made the app completely unusable ....,2.0,negative,app,2026-06-08,english
RV0005097,ZPO0034994,U01998,76,promo code expired but it was shown as valid in the app pls look into this,1.0,negative,,2026-01-22,english
RV0003551,ZPO0046541,U01476,91,"  team delivery boy called before coming, very professional kindly resolve   ",5.0,positive,delivery,2026-02-05,english
RV0005165,ZPO0060158,U03655,15,very reasonable pricing for the convenience do something about it 🔥,5.0,positive,pricing,2026-04-29,english
RV0002889,ZPO0017808,U03247,72,costumer care never picks up the call thanks,2.0,negative,customer_support,2026-06-23,english
RV0002587,ZPO0036624,U00130,112,hello order placement was smooth and everything arrived :( 🔥!!!,4.0,positive,order,2026-02-20,english
RV0006435,ZPO0020925,U02721,99,"got spoiled Arun Butterscotch Ice Cream, cannot use it",2.0,negative,product,05/06/2026,english
RV0002108,ZPO0045693,U02873,52,as usual the Britannia Good Day Cashew was stale and smelled bad,1.0,negative,product,2026-02-26,english
RV0000488,ZPO0042500,U02344,7,order placemeeeent was smooth and everything arrived pls look into this,4.0,positive,order,2026-04-24,english
RV0003185,ZPO0046304,U00378,5,"guys Green Chilli quality is superb, will order again kindly resolve",5.0,positive,product,06/01/2026,english
RV0001043,ZPO0031714,U03044,8,guys advertised offer was not applied to my order,1.0,negative,offers,01/02/2026,english
RV0007120,ZPO0079997,U03259,56,delevery charge romba adhigam today !!,1.0,Negative,pricing,2026-03-27,tanglish
RV0004373,ZPO0074986,U02982,64,"TEAM INDIA GATE BASMATI RICE ROMBA MOSAM, WASTE OF MONEY DO SOMETHING ABOUT IT",5.0,negative,product,2026-05-27,tanglish
RV0003915,ZPO0012793,U00224,85,team still waiting for my refund after two weeks thanks,,negative,refund,2026-01-02,english
RV0000707,ZPO0007563,U01438,80,"as usual worst delivery experience, never on time !! call me on 9876574471",3.0,negative,,2026-01-18,english
RV0006144,ZPO0009756,U03402,79,AS USUAL THE BOX WAS TORN AND ITEMS FELL OUT,1.0,negative,packaging,15/04/2026,english
RV0004076,ZPO0023931,U00741,25,"rider came, handed the bag, that is it kindly resolve",3.0,neutral,delivery,2026-01-22,english
RV0006315,ZPO0031805,U03258,25,"seriously packaging was excellent, nothing was damaged 🔥",3.0,positive,packaging,2026-06-14,english
RV0005684,ZPO0000858,U01257,24,guys order said 10 minutes but came after an hour ... &nbsp;,2.0,negative,delivery,2026-04-15,english
RV0001439,ZPO0069295,U01605,89,Seriously veery reasonable pricing for the convenience call me on 9876587565,5.0,POSITIVE,pricing,2026-06-21,english
RV0001996,ZPO0051571,U00454,63,seriously the India Gate Ponni Boiled Rice was really fresh and good quality,5.0,positive,product,2026-03-10,english
RV0004419,ZPO0043522,U01611,52,"  HI BRITANNIA GOOD DAY CASHEW QUALIY IS VERY POOR, THREW IT AWAY THANKS   ",2.0,negative,product,10-Apr-2026,english
RV0007920,ZPO0029382,U02862,25,first time ordering Pomegranate here and it is really good do something about it  visit https://zepto.example/offer for more,5.0,positive,product,2026-03-28,english
RV0005748,ZPO0038737,U03017,112,SERIOUSLY ORDER PLACEMENT WAS SMOOTH AND EVERYTHING ARRIVED KINDLY RESOLVE,4.0,positive,order,2026-02-23,english
RV0005805,ZPO0054402,U00745,63,ONCE AGAIN TWO ITEMS MISSING FROM MY ORDER,1.0,negative,order,2026-05-20,english
RV0000094,ZPO0048356,U03820,20,curd packet was leaking and the whole bag was wet :),3.0,negative,packaging,2026-05-11,english
RV0003316,ZPO0003794,U03844,27,,1.0,negative,product,2026-04-16,english
RV0001738,ZPO0015369,U03958,10,Hello stock is never available during peak hours kindly resolve 😡,1 stars,negative,inventory,2026-05-02,english
RV0005021,ZPO0079440,U02234,11,HONESTLY THE LADY FINGER WAS STALE AND SMELLED BAD 👎 call me on 9876555226,1.0,negative,product,2026-06-22,english
RV0003502,ZPO0033453,U01742,14,"honestly delivery boy called before coming, very professional kindly resolve 🔥!!!!!",5 stars,positive,delivery,2026-05-29,english
RV0000102,ZPO0001876,U03954,94,"team worst McCain Aloo Tikki i have received, totally rotten kindly resolve",1.0,negative,product,10/06/2026,english
RV0005674,ZPO0021925,U00375,92,hi refund amount is less than what i paid :(,3.0,negative,refund,2026-01-27,english
RV0002805,ZPO0040950,U01658,10,"delivery boy called before coming, very professional !!",5.0,positive,delivery,2026-01-20,english
RV0005811,ZPO0023162,U03804,47,  as usual refund is under review as per the app !!   ,3.0,neutral,refund,06/21/2026,english
RV0007288,ZPO0040013,U02222,54,team uploaded photos of the damaged item but refund was denied :( 👎,2.0,negative,refund,15-Apr-2026,english
RV0002288,ZPO0051499,U00993,60,"order la items missing, very bad kindly resolve",1.0,negative,order,2026-03-26,tanglish
RV0002630,ZPO0060056,U01982,12,team refund amount is less than what i paid do something about it call me on 9876575593,2.0,negative,refund,12/05/2026,english
RV0004163,ZPO0012456,U03413,37,"packing romba mosam, milk leak aagiduchu :(",3.0,negative, packaging ,2026-02-26,tanglish
RV0006154,ZPO0045014,U03191,53,once again stock is never available during peak hours ...!!!,2.0,negative,inventory,2026-01-28,english
RV0000234,ZPO0029170,U03140,14,refund is under review as per the app pls look into this!!!,4.0,neutral,refund,2026-03-01,english
RV0003160,ZPO0020476,U02266,76,hi the Bru Filter Coffee was stale and smelled bad,1.0,negative,product,2026-01-29,english
RV0006087,ZPO0048108,U02849,50,"team paid by upi, transaction completed ... ⭐",3.0,neutral,payment,2026-01-12,english
RV0006111,ZPO0056412,U01398,9,first time ordering Curry Leaves here and it is really good pls look into this ⭐,4.0,positive,product,2026-05-05,english
