store_lat,store_lon,delivery_zone,city,city_tier,customer_lat,customer_lon,distance_km,road_type,traffic_index,rainfall_mm,weather_condition,hour,weekday,peak_hour_flag,weekend_flag,festival_day_flag,item_count,order_amount,order_weight_kg,membership_type,demand_level,vehicle_type,rider_experience_months,current_rider_load,rider_rating,previous_acceptance_rate,rider_earnings_today,current_incentive,delivery_charge,delivery_time_minutes,rider_accepted,order_month,order_year
10.775166,78.674909,TRI-Z02,trichy,3,10.801775,78.665815,3.121,arterial,0.4653,0.0,clear,11,6,0,1,0,7,204.38,1.878,none,medium,bicycle,11.0,3,4.1,0.809,2324.31,34.24,38.87,34.77,0,March,2026
13.034659,77.602591,BEN-Z02,bengaluru,1,13.023868,77.605991,1.255,residential,0.3348,0.0,clear,7,0,0,0,0,4,54.42,0.428,none,low,bike,8.0,3,4.93,0.907,211.57,26.81,43.95,20.42,1,March,2026
12.956562,77.54897,BEN-Z12,bengaluru,1,12.944938,77.521024,3.293,highway,0.393,0.0,clear,16,1,0,0,0,15,1026.83,6.224,pass_plus,low,bike,11.7,0,3.8,0.53,1518.59,42.98,31.43,23.88,0,January,2026
12.989196,80.282597,CHE-Z09,chennai,1,12.974096,80.275139,1.863,arterial,0.783,0.0,clear,13,6,1,1,0,5,35.0,2.601,none,medium,ev_bike,33.2,0,4.16,0.771,474.61,46.59,58.97,16.32,1,January,2026
12.967574,77.540858,BEN-Z05,bengaluru,1,12.933562,77.549379,3.893,arterial,0.4898,0.0,clear,17,5,0,1,0,8,98.99,0.445,pass,low,bike,11.8,3,4.57,0.707,918.9,34.49,60.56,36.78,0,June,2026
19.073551,72.808853,MUM-Z02,mumbai,1,19.072709,72.783596,2.656,arterial,0.2988,0.0,clear,17,2,0,0,0,3,116.87,1.745,none,low,bike,14.7,2,4.53,0.608,478.26,41.16,58.08,23.64,1,January,2026
12.967086,77.602738,BEN-Z08,bengaluru,1,12.964945,77.632068,3.187,arterial,0.3591,0.0,clear,11,2,0,0,0,5,83.57,5.345,pass,low,bike,5.3,2,4.23,0.915,732.93,49.48,58.14,26.76,1,January,2026
17.377649,78.567744,HYD-Z09,hyderabad,1,17.412143,78.52315,6.091,arterial,0.7886,0.0,clear,19,6,1,1,0,2,124.33,0.615,none,medium,scooter,10.7,1,3.94,0.78,792.93,76.99,105.08,46.58,0,January,2026
11.047512,76.985832,COI-Z06,coimbatore,2,11.071582,76.967411,3.347,residential,0.6541,0.0,clear,19,6,1,1,0,6,56.38,5.309,none,low,bike,6.9,1,4.65,0.666,2050.36,54.44,58.11,31.04,0,June,2026
17.432337,78.531114,HYD-Z07,hyderabad,1,17.415774,78.502794,3.524,narrow_lane,0.5982,0.0,clear,20,1,1,0,0,4,35.0,4.313,pass,medium,bike,5.6,3,4.91,0.662,1618.14,47.98,70.76,40.58,0,February,2026
11.075762,76.949599,COI-Z08,coimbatore,2,11.083288,76.981946,3.628,arterial,0.3426,4.94,light_rain,6,0,0,0,0,3,35.0,1.294,none,low,bike,0.9,1,4.01,0.858,800.44,66.98,58.07,24.29,1,April,2026
17.339546,78.362421,HYD-Z02,hyderabad,1,17.336376,78.36885,0.768,residential,0.6164,0.0,light_rain,20,1,1,0,0,12,165.35,4.26,none,low,bike,12.3,1,4.39,0.859,2959.64,42.36,49.96,15.33,1,April,2026
13.001202,80.271869,CHE-Z13,chennai,1,12.979098,80.30938,4.75,arterial,0.3958,0.0,clear,17,2,0,0,0,10,1234.14,5.174,pass,low,ev_bike,7.2,2,5.0,0.785,467.32,58.28,39.42,33.52,1,April,2026
12.273057,76.609077,MYS-Z01,mysuru,3,12.25128,76.632009,3.475,residential,0.5124,0.0,clear,22,5,0,1,0,6,379.11,0.765,none,low,bike,13.7,1,4.62,0.833,1390.63,49.68,30.61,22.5,0,March,2026
13.034659,77.602591,BEN-Z02,bengaluru,1,13.025783,77.60442,1.007,highway,0.7025,0.0,clear,21,4,1,0,0,2,50.31,0.582,pass,high,bike,15.3,1,4.23,0.779,342.14,39.96,50.83,12.74,1,February,2026
12.913579,77.605083,BEN-Z06,bengaluru,1,12.931134,77.5996,2.04,arterial,0.2655,0.0,clear,17,1,0,0,0,8,439.0,0.537,pass,low,bike,10.1,0,3.75,0.965,566.18,36.57,23.81,14.16,1,March,2026
12.989196,80.282597,CHE-Z09,chennai,1,12.996159,80.288763,1.023,arterial,0.3474,0.0,clear,18,3,0,0,0,4,95.16,2.694,pass,low,bike,9.6,2,4.02,0.714,1266.21,24.79,50.1,15.47,1,May,2026
11.041438,76.943104,COI-Z02,coimbatore,2,11.047738,76.933834,1.231,highway,0.8529,0.0,clear,13,5,1,1,0,6,583.01,1.868,none,high,bicycle,24.9,2,5.0,0.56,1400.35,44.08,29.05,20.56,1,February,2026
19.017356,72.852547,MUM-Z11,mumbai,1,19.018382,72.865233,1.339,arterial,0.4142,0.0,clear,14,0,0,0,0,9,293.02,5.446,none,low,bike,10.0,2,4.45,0.804,526.42,24.35,39.35,18.34,1,April,2026
9.979123,78.121505,MAD-Z03,madurai,3,9.996855,78.117399,2.022,arterial,0.427,0.0,clear,14,5,0,1,0,6,91.05,5.158,pass,high,bike,7.9,0,4.07,0.889,1182.86,34.51,37.36,15.77,1,April,2026
19.073551,72.808853,MUM-Z02,mumbai,1,19.08973,72.816364,1.965,residential,0.6409999999999999,11.87,moderate_rain,14,6,0,1,0,4,68.15,0.329,none,low,scooter,25.9,0,4.19,0.68,504.48,51.98,56.14,23.25,1,April,2026
13.034659,77.602591,BEN-Z02,bengaluru,1,12.95475,77.666849,11.288,residential,0.3102,0.0,clear,10,3,0,0,0,9,560.51,4.802,none,low,ev_bike,22.2,0,4.71,0.755,934.26,135.22,101.81,57.8,0,January,2026
13.102544,80.255519,CHE-Z14,chennai,1,13.098315,80.266443,1.273,arterial,0.485,0.0,clear,23,6,0,1,0,2,77.67,0.45,none,low,bike,7.6,3,5.0,0.911,2327.54,21.31,44.18,17.25,1,May,2026
17.386907,78.380612,HYD-Z05,hyderabad,1,17.410077,78.395039,2.997,highway,0.2883,0.0,clear,16,4,0,0,0,3,53.77,1.604,none,medium,scooter,10.1,3,4.81,0.83,1258.71,41.39,60.25,20.62,0,March,2026
19.012064,72.903276,MUM-Z07,mumbai,1,19.00147,72.913858,1.62,residential,0.7085,0.0,clear,13,3,1,0,0,3,133.56,2.637,none,high,bike,20.9,2,4.48,0.708,1727.77,46.21,71.04,20.72,1,January,2026
13.065923,77.533601,BEN-Z10,bengaluru,1,13.028417,77.569194,5.68,arterial,0.7191,0.0,clear,13,2,1,0,0,3,141.52,0.287,pass,high,bike,20.8,0,4.29,0.76,833.62,84.86,92.84,36.07,1,May,2026
19.116791,72.774727,MUM-Z04,mumbai,1,19.081734,72.755949,4.369,arterial,0.703,5.8,moderate_rain,12,4,1,0,0,5,133.21,1.973,none,medium,scooter,20.7,2,4.24,0.644,1491.84,95.67,104.55,39.56,0,April,2026
13.000426,77.566828,BEN-Z04,bengaluru,1,12.981648,77.57383,2.222,highway,0.3097,0.92,light_rain,14,0,0,0,0,14,483.33,12.631,none,low,bicycle,7.8,3,4.59,0.613,507.83,42.88,55.29,31.19,0,April,2026
12.32021,76.658884,MYS-Z03,mysuru,3,12.315616,76.640886,2.021,residential,0.6674,0.0,clear,9,6,1,1,0,4,226.97,1.305,pass,medium,bike,10.7,1,4.66,0.807,1682.55,39.08,27.15,18.76,1,May,2026
13.066524,80.254772,CHE-Z07,chennai,1,13.073216,80.275617,2.377,narrow_lane,0.6791,0.0,light_rain,20,3,1,0,0,8,90.64,1.478,none,medium,ev_bike,6.5,3,4.21,0.569,1407.3,57.68,62.9,35.46,0,March,2026
13.085855,80.271117,CHE-Z10,chennai,1,13.071202,80.254438,2.433,residential,0.4443,0.0,clear,11,6,0,1,0,4,74.8,1.559,pass,low,bike,16.5,3,4.33,0.554,3158.7,37.54,46.24,23.07,0,April,2026
17.339546,78.362421,HYD-Z02,hyderabad,1,17.353284,78.373971,1.959,arterial,0.2645,0.0,clear,7,4,0,0,0,2,35.0,0.768,none,low,bike,1.7,0,4.44,0.523,494.5,24.81,49.02,15.51,1,March,2026
12.972781,77.610699,BEN-Z14,bengaluru,1,12.95567,77.617228,2.03,residential,0.6642,0.0,clear,21,5,1,1,0,6,453.16,1.672,pass,high,scooter,16.0,2,4.8,0.726,2066.81,51.09,36.31,27.16,0,May,2026
13.168793,80.215619,CHE-Z12,chennai,1,13.157803,80.215238,1.223,highway,0.5777,0.0,clear,6,1,0,0,0,7,284.41,11.951,pass_plus,low,bicycle,43.3,2,4.49,0.605,513.51,21.58,49.57,20.57,0,June,2026
13.009524,77.554209,BEN-Z01,bengaluru,1,12.995602,77.525221,3.501,arterial,0.7753,0.0,clear,12,5,1,1,0,6,255.87,6.419,pass_plus,high,bike,21.2,1,4.21,0.719,676.41,68.21,42.37,32.84,1,March,2026
28.562492,77.247599,DEL-Z04,delhi ncr,1,28.552478,77.292239,4.5,highway,0.4643,0.0,clear,22,6,0,1,0,3,168.79,1.594,none,low,bike,15.3,2,4.53,0.983,684.69,51.9,60.21,24.6,1,April,2026
19.065715,72.902957,MUM-Z08,mumbai,1,19.057374,72.903971,0.934,arterial,0.5103,0.0,clear,4,5,0,1,0,5,209.55,3.699,none,low,scooter,19.5,3,3.89,0.738,1285.38,24.35,46.63,18.92,1,February,2026
13.102544,80.255519,CHE-Z14,chennai,1,13.119669,80.251681,1.949,arterial,0.5605,0.0,clear,21,3,1,0,0,1,35.0,0.612,none,medium,bike,14.7,0,4.66,0.396,1971.56,46.72,57.18,16.59,0,March,2026
10.773466,78.733858,TRI-Z01,trichy,3,10.778294,78.741751,1.016,residential,0.2487,0.0,clear,11,2,0,0,0,1,35.0,0.577,none,medium,bicycle,25.0,0,4.45,0.678,471.4,24.16,33.99,10.68,1,May,2026
19.045278,72.894492,MUM-Z05,mumbai,1,19.069689,72.869694,3.763,arterial,0.838,3.41,light_rain,21,5,1,1,0,2,69.25,0.16,none,medium,ev_bike,17.7,2,4.41,0.844,340.58,83.18,85.44,37.76,1,April,2026
13.005784,77.598458,BEN-Z11,bengaluru,1,12.98528,77.60077,2.294,arterial,0.4035,0.0,clear,18,3,0,0,0,6,349.29,1.536,pass_plus,low,scooter,13.5,2,4.73,0.421,572.85,31.87,25.69,23.97,1,April,2026
13.065923,77.533601,BEN-Z10,bengaluru,1,13.105261,77.521392,4.57,residential,0.8614,8.79,moderate_rain,20,1,1,0,0,2,50.19,1.462,none,low,bike,7.7,1,5.0,0.622,1612.15,80.05,93.91,50.92,0,March,2026
13.005784,77.598458,BEN-Z11,bengaluru,1,13.011345,77.625624,3.007,arterial,0.7753,0.0,clear,13,5,1,1,0,2,35.0,0.798,none,medium,ev_bike,13.5,2,4.45,0.66,761.34,58.67,68.79,33.99,0,March,2026
12.999763,77.568869,BEN-Z03,bengaluru,1,12.98926,77.555244,1.882,arterial,0.6449,0.0,clear,9,4,1,0,0,6,186.18,4.554,none,low,ev_bike,15.1,2,5.0,0.863,1151.7,40.78,40.51,23.47,1,April,2026
17.351618,78.544213,HYD-Z08,hyderabad,1,17.343887,78.504541,4.298,highway,0.6996,0.0,clear,21,0,1,0,0,11,313.01,6.854,none,low,scooter,6.8,2,5.0,0.493,2948.81,56.66,68.42,35.91,0,May,2026
9.82467,78.181555,MAD-Z04,madurai,3,9.816588,78.1891,1.221,arterial,0.466,0.0,clear,16,2,0,0,0,9,35.0,3.691,none,low,scooter,8.7,0,4.09,0.619,355.08,24.81,38.98,13.38,1,February,2026
19.045278,72.894492,MUM-Z05,mumbai,1,19.027743,72.922413,3.524,residential,0.6296,1.84,light_rain,9,4,1,0,0,8,35.0,2.034,pass,medium,scooter,15.5,1,4.29,0.517,2416.43,57.92,67.69,39.54,0,February,2026
13.005784,77.598458,BEN-Z11,bengaluru,1,13.017226,77.600591,1.293,arterial,0.5039,0.0,clear,15,6,0,1,0,1,35.0,0.15,pass,low,scooter,8.8,3,3.78,0.868,558.84,20.04,49.5,17.73,1,May,2026
28.636198,77.200089,DEL-Z09,delhi ncr,1,28.642322,77.226866,2.7,arterial,0.472,0.0,clear,14,6,0,1,0,3,147.71,1.349,pass,medium,ev_bike,5.7,3,4.91,0.791,1196.46,45.34,52.46,27.05,0,June,2026
13.001202,80.271869,CHE-Z13,chennai,1,12.987429,80.283675,1.995,arterial,0.3384,0.0,clear,17,4,0,0,0,3,87.16,3.57,none,low,bike,6.2,2,4.95,0.739,1432.8,30.5,46.66,21.52,1,May,2026
13.04181,80.181067,CHE-Z02,chennai,1,13.016019,80.205197,3.88,narrow_lane,0.3037,1.48,light_rain,5,2,0,0,0,3,233.16,0.932,pass,low,scooter,47.7,3,4.36,0.65,556.93,36.94,47.19,37.85,0,January,2026
13.137892,80.313144,CHE-Z04,chennai,1,13.13833,80.326566,1.454,highway,0.7403,0.0,clear,21,6,1,1,0,2,35.0,1.907,none,medium,bike,29.9,0,4.24,0.739,1269.08,42.5,61.2,11.77,1,May,2026
19.017886,72.806471,MUM-Z01,mumbai,1,19.023488,72.819261,1.482,arterial,0.3861,0.0,clear,17,1,0,0,0,3,35.0,0.906,pass,low,bike,1.6,3,4.77,0.52,1828.21,24.5,47.72,21.43,0,March,2026
13.065923,77.533601,BEN-Z10,bengaluru,1,13.026685,77.553163,4.85,arterial,0.4004,0.0,clear,15,6,0,1,0,4,142.05,0.956,pass,low,scooter,32.0,3,4.51,0.708,1870.72,77.39,68.5,36.85,0,February,2026
13.050043,80.200144,CHE-Z08,chennai,1,13.059806,80.191698,1.42,residential,0.5402,7.44,moderate_rain,18,6,0,1,0,5,259.08,0.948,none,low,bike,20.8,2,4.65,0.477,1614.63,39.03,44.01,21.54,0,July,2028
28.74618,77.197588,DEL-Z03,delhi ncr,1,28.735602,77.180265,2.058,narrow_lane,0.7437,0.0,clear,20,5,1,1,0,5,109.56,3.666,pass,medium,bike,48.5,0,4.4,0.755,2414.88,45.97,51.58,25.2,1,April,2026
12.985599,77.595719,BEN-Z09,bengaluru,1,12.975227,77.585971,1.564,arterial,0.5777,1.5,light_rain,21,6,1,1,0,3,35.0,0.411,none,medium,bike,26.1,0,3.86,0.812,1802.22,48.27,61.45,19.76,1,February,2026
10.972085,76.949985,COI-Z07,coimbatore,2,10.968005,76.932902,1.919,highway,0.2888,0.0,clear,10,4,0,0,0,3,136.16,2.536,none,low,bike,3.8,0,4.8,0.867,949.25,25.92,40.19,10.1,1,April,2026
13.034659,77.602591,BEN-Z02,bengaluru,1,13.034221,77.589449,1.424,narrow_lane,0.7588,0.0,clear,12,6,1,1,0,7,306.36,0.169,none,medium,bike,19.1,1,4.62,0.78,651.57,37.71,35.72,24.73,1,May,2026
12.967086,77.602738,BEN-Z08,bengaluru,1,12.993184,77.607044,2.939,residential,0.7374,0.0,clear,20,4,1,0,0,8,279.79,5.34,pass,high,ev_bike,27.2,1,4.56,0.848,1646.52,61.35,49.2,31.79,0,January,2026
19.065715,72.902957,MUM-Z08,mumbai,1,19.057778,72.859873,4.613,residential,0.721,0.0,clear,21,2,1,0,0,1,86.19,0.15,none,medium,scooter,7.8,3,4.74,0.785,2155.13,83.26,94.71,46.6,0,February,2026
28.74618,77.197588,DEL-Z03,delhi ncr,1,28.732393,77.190086,1.699,residential,0.5627,0.0,clear,19,0,1,0,0,3,93.28,1.205,none,low,bicycle,45.0,1,3.97,0.674,1170.34,45.14,48.59,28.13,1,March,2026
13.009524,77.554209,BEN-Z01,bengaluru,1,12.991191,77.541301,2.472,residential,0.812,0.0,clear,19,1,1,0,1,4,321.72,4.623,pass,high,ev_bike,3.0,0,4.1,0.719,2736.92,62.66,39.29,27.75,0,April,2026
13.04181,80.181067,CHE-Z02,chennai,1,13.033734,80.190914,1.394,residential,0.9487,0.0,clear,19,6,1,1,0,10,70.33,2.346,none,medium,bike,17.1,1,4.44,0.688,668.69,38.9,64.19,22.49,1,April,2026
13.028598,77.544217,BEN-Z07,bengaluru,1,13.022387,77.523237,2.375,narrow_lane,0.8171,0.0,clear,12,4,1,0,0,7,94.82,2.103,none,high,scooter,11.7,3,4.38,0.826,1268.79,46.38,67.47,41.88,0,June,2026
17.336723,78.506211,HYD-Z04,hyderabad,1,17.324232,78.511419,1.495,residential,0.9255,3.48,light_rain,9,6,1,1,0,2,35.0,1.796,none,high,ev_bike,24.5,1,3.97,0.756,449.47,53.25,63.33,23.83,1,April,2026
19.065715,72.902957,MUM-Z08,mumbai,1,19.077935,72.923747,2.573,arterial,0.2532,0.0,clear,16,2,0,0,0,4,93.67,1.534,none,low,scooter,0.8,2,4.45,0.906,1398.06,45.96,58.27,24.15,1,April,2026
12.967574,77.540858,BEN-Z05,bengaluru,1,12.98228,77.546379,1.741,arterial,0.4161,6.29,moderate_rain,22,0,0,0,0,6,198.31,3.095,pass,low,scooter,15.0,1,4.42,0.717,2872.61,37.16,38.44,21.5,0,January,2026
12.972781,77.610699,BEN-Z14,bengaluru,1,12.945264,77.605835,3.105,arterial,0.4999,0.0,clear,14,6,0,1,0,8,329.58,8.613,none,low,bike,4.4,2,4.38,0.938,2592.89,44.56,55.13,30.12,0,May,2026
17.362706,78.397761,HYD-Z10,hyderabad,1,17.373794,78.450346,5.715,arterial,0.5824,0.0,clear,19,1,1,0,0,6,35.0,7.249,pass_plus,high,scooter,30.5,3,4.5,0.642,2847.63,85.51,83.11,40.76,0,January,2026
13.000426,77.566828,BEN-Z04,bengaluru,1,12.990782,77.561751,1.205,residential,0.7333,0.0,clear,20,6,1,1,0,10,144.19,7.397,none,medium,bike,20.7,2,4.9,0.795,211.28,41.87,70.45,21.54,1,March,2026
13.04181,80.181067,CHE-Z02,chennai,1,13.031295,80.155993,2.957,narrow_lane,0.6377,0.0,light_rain,9,2,1,0,0,5,80.98,3.033,pass,low,bike,10.8,0,4.45,0.601,682.55,65.75,60.54,28.24,1,April,2026
28.65611,77.243342,DEL-Z12,delhi ncr,1,28.665742,77.262354,2.142,arterial,0.7491,0.0,clear,21,0,1,0,0,5,67.57,1.044,pass_plus,high,ev_bike,26.4,2,4.57,0.893,1395.25,47.02,36.26,22.76,1,January,2026
10.723746,78.740815,TRI-Z04,trichy,3,10.697596,78.723211,3.486,arterial,0.3773,0.0,clear,14,0,0,0,0,8,234.27,0.754,none,low,bike,23.1,3,4.27,0.719,1994.36,31.13,35.3,25.14,0,January,2026
13.034659,77.602591,BEN-Z02,bengaluru,1,13.037797,77.58024,2.446,arterial,0.6916,0.0,clear,13,1,1,0,0,6,307.78,1.177,none,high,bike,11.6,3,4.54,0.714,1477.28,57.04,45.65,30.72,0,March,2026
