order_id,order_placed_at,store_id,store_lat,store_lon,delivery_zone,city,city_tier,customer_lat,customer_lon,distance_km,road_type,traffic_index,rainfall_mm,weather_condition,hour,weekday,peak_hour_flag,weekend_flag,festival_day_flag,item_count,order_amount,order_weight_kg,membership_type,demand_level,vehicle_type,rider_experience_months,current_rider_load,rider_rating,previous_acceptance_rate,rider_earnings_today,current_incentive,delivery_charge,delivery_time_minutes,rider_accepted,historical_delivery_cost,historical_travel_time,promo_code_applied,data_source
ZPO0001177,2026-02-16 12:45:00,DS0032,17.336723,78.506211,HYD-Z04,Hyderabad,1,17.331863,78.512224,0.836,arterial,0.6964,0.0,clear,12,0,1,0,0,1,35.0,0.304,none,medium,scooter,38.2,1,4.2,0.449,1354.07,33.37,58.65,12.3,1,49.819,22.922,,zepto_ops_export_v2
ZPO0068356,17/03/2026 10:25,DS0019,12.967574,77.540858,BEN-Z05,Bengaluru,1,12.964925,77.551446,1.185,residential,0.5121,0.0,clear,10,1,0,0,0,1,57.58,0.693,-,High,bike,10.1,2,4.03,0.655,623.19,22.92,56.4,17.03,1,53.407,28.379,,zepto_ops_export_v2
ZPO0045791,2026-03-04 12:24:00,DS0030,17.339546,78.362421,HYD-Z02,Hyderabad,1,17.323418,78.351519,2.134,residential,,13.87,moderate_rain,12,2,1,0,0,7,604.06,2.495,PASS,low,bike,32.1,1,4.36,0.664,224.2,76.82,32.64,23.96,1,66.195,30.598,,zepto_ops_export_v2
ZPO0040723,2026-04-30 16:28:00,DS0029,17.383957,78.480301,HYD-Z01,Hyderabad,1,17.370919,78.482921,1.476,residential,0.2696,0.0,clear,16,3,0,0,0,1,35.0,0.428,none,medium,BIKE,14.4,3,4.16,0.561,448.64,20.54,44.4,18.41,1,58.976,27.354,,zepto_ops_export_v2
ZPO0034661,2026-01-08 12:28:00,DS0035,17.432337,78.531114,HYD-Z07,Secunderabad ,1,17.440564,78.54601,1.826,residential,0.638,0.0,clear,12,3,1,0,0,6,280.23,5.372,none,low,bike,27.1,0,4.45,0.652,688.83,50.26,43.16,20.35,1,70.011,32.95,,zepto_ops_export_v2
ZPO0057800,2026-04-13 20:51:00,DS0033,17.386907,78.380612,HYD-Z05,Hyderabad,1,17.40077,78.38541,1.623,residential,0.838,2.83,light_rain,20,0,1,0,0,5,308.68,0.841,pass,high,bike,33.0,2,4.54,0.745,1990.92,52.22,36.31,27.44,1,30.93,14.732,,zepto_ops_export_v2
ZPO0042731,2026-04-20 20:18:00,DS0059,28.667966,77.154585,DEL-Z08,Delhi NCR,1,28.661732,77.166977,1.394,residential,0.6999,0.0,clear,20,0,1,0,0,1,49.76,0.456,none,low,Scooter ,33.4,1,4.4,0.847,878.93,38.13,62.89,18.99,1,69.515,34.434,,zepto_ops_export_v2
ZPO0049184,04/06/2026 12:39,DS0054,28.74618,77.197588,DEL-Z03,Delhi NCR,1,28.761233,77.190091,1.826,residential,0.5459,0.0,clear,12,3,1,0,0,1,35.0,0.507,pass_plus,high,scooter ,2.0,3,4.64,0.87,367.61,50.15,44.59,25.67,1,62.706,32.516,,zepto_ops_export_v2
ZPO0076130,2026-05-25 14:33:00,DS0016,13.034659,77.602591,BEN-Z02,Bengaluru,1,13.034834,77.558157,4.814,highway,0.4547,0.0,clear,14,0,0,0,0,6,159.07,1.056,pass,low,bike,15.2,1,4.52,0.777,793.79,58.41,66.2,28.51,1,38.256,18.625,,zepto_ops_export_v2
ZPO0028171,2026-02-04 08:36:00,DS0017,12.999763,77.568869,BEN-Z03,Bengaluru,1,12.977868,77.579583,2.697,residential,0.7519,0.0,clear,8,2,1,0,0,1,66.49,0.15,pass,mediun,bike,12.7,0,4.24,0.717,373.52,48.07,68.72,26.48,1,50.961,25.014,,zepto_ops_export_v2
ZPO0034327,2026-06-03 10:18:00,DS0052,28.6353,77.181975,DEL-Z01,Delhi NCR,1,28.656256,77.201947,3.038,resedential,0.3413,0.0,clear,10,2,0,0,0,6,212.55,1.621,none,low,bike,18.3,2,4.78,0.519,333.67,INR 41.15,43.89,25.98,1,68.649,33.78,,zepto_ops_export_v2
ZPO0050518,2026-04-18 07:52:00,DS0027,12.84682,77.573191,BEN-Z13,Bengaluru,1,12.820966,77.580279,2.976,arterial,0.3875,0.0,clear,7,5,0,1,0,3,35.0,0.331,none,medium,bicycle,19.4,1,4.95,0.572,1121.96,38.6,51.07,31.93,0,36.939,17.131,,zepto_ops_export_v2
ZPO0058132,2026-02-07 18:13:00,DS0033,17.386907,78.380612,HYD-Z05,Hyderabad,1,17.391583,78.397719,1.888,residential,0.5339,0.0,clear,18,5,0,1,0,7,91.12,1.327,none,medium,ev_bike,33.4,0,4.86,0.72,409.91,35.39,54.05,18.28,1,65.888,32.622,,zepto_ops_export_v2
ZPO0069717,2026-03-15 11:24:00,DS0079,10.775166,78.674909,TRI-Z02,Trichy,3,10.801775,78.665815,3.121,arterial,0.4653,0.0,clear,11,6,0,1,0,7,204.38,1.878,none,medium,bicycle,11.0,3,4.1,0.809,2324.31,34.24,38.87,34.77,0,108.836,54.432,,zepto_ops_export_v2
ZPO0015102,2026-03-02 07:59:00,DS0016,13.034659,77.602591,BEN-Z02,Bengaluru,1,13.023868,77.605991,1.255,residential,0.3348,0.0,clear,7,0,0,0,0,4,54.42,0.428,none,low,bike,8.0,3,4.93,0.907,211.57,26.81,43.95,20.42,1,43.558,21.596,,zepto_ops_export_v2
ZPO0030504,2026-01-06 16:22:00,DS0026,12.956562,77.54897,BEN-Z12,bengaluru,1,12.944938,77.521024,3.293,highway,0.393,0.0,sunny,16,1,0,0,0,15,1026.83,6.224,pass_plus,low,bike,11.7,0,3.8,0.53,1518.59,42.98,31.43,23.88,0,64.354,32.284,,zepto_ops_export_v2
ZPO0035715,2026-01-11 13:58:00,DS0009,12.989196,80.282597,CHE-Z09,Chennai,1,12.974096,80.275139,1.863,arterial,0.783,0.0,clear,13,6,TRUE,1,0,5,35.0,2.601,none,medium,ev_bike,33.2,0,4.16,0.771,474.61,46.59,58.97,16.32,1,64.667,33.029,,zepto_ops_export_v2
ZPO0072962,2026-06-27 17:11:00,DS0019,12.967574,77.540858,BEN-Z05,Bengaluru,1,12.933562,77.549379,3.893,arterial,0.4898,0.0,clear,17,5,0,1,0,8,98.99,0.445,pass,low,bike,11.8,3,4.57,0.707,918.9,34.49,60.56,36.78,0,54.087,27.223,,zepto_ops_export_v2
ZPO0061345,2026-01-21 17:36:00,DS0041,19.073551,72.808853,MUM-Z02,Mumbai,1,19.072709,72.783596,2.656,arterial,0.2988,0.0,clear,17,2,0,0,0,3,116.87,1.745,none,low,Bke,14.7,2,4.53,0.608,478.26,41.16,58.08,23.64,1,53.636,24.546,,zepto_ops_export_v2
ZPO0003872,2026-01-21 11:52:00,DS0022,12.967086,77.602738,BEN-Z08,Bengaluru,1,12.964945,77.632068,3.187,arterial,0.3591,0.0,clear,11,2,0,0,0,5,83.57,5.345,pass,low,bike,5.3,2,4.23,0.915,732.93,49.48,58.14,26.76,1,46.196,21.898,,zepto_ops_export_v2
ZPO0018771,2026-01-04 19:56:00,DS0037,17.377649,78.567744,HYD-Z09,Hyderabad,1,17.412143,78.52315,6.091,arterial,0.7886,0.0,clear,19,6,1,1,0,2,124.33,0.615,none,medium,scooter,10.7,1,3.94,0.78,792.93,76.99,105.08,46.58,0,44.728,22.166,,zepto_ops_export_v2
ZPO0058139,2026-06-07 19:43:00,DS0069,11.047512,76.985832,COI-Z06,Coimbatore,2,11.071582,76.967411,3.347,residential,0.6541,0.0,clear,19,6,1,1,0,6,56.38,5.309,none,low,bike,6.9,1,4.65,0.666,2050.36,54.44,58.11,31.04,0,98.365,46.56,,zepto_ops_export_v2
ZPO0000070,2026-02-17 20:22:00,DS0035,17.432337,78.531114,HYD-Z07,Hyderabad,1,17.415774,78.502794,3.524,narrow_lane,0.5982,0.0,clear,20,1,1,0,0,4,35.0,4.313,PASS,medium,bike,5.6,3,4.91,0.662,1618.14,INR 47.98,70.76,40.58,0,60.004,30.39,,zepto_ops_export_v2
ZPO0002156,2026-04-13 06:47:00,DS0071,11.075762,76.949599,COI-Z08,Coimbatore,2,11.083288,76.981946,3.628,arterial,0.3426,4.94,lightrain,6,0,0,0,0,3,35.0,1.294,none,low,bike,0.9,1,4.01,0.858,800.44,66.98,58.07,24.29,1,45.173,20.806,,zepto_ops_export_v2
ZPO0037903,2026-04-07 20:20:00,DS0030,17.339546,78.362421,HYD-Z02,Hyderabad,1,17.336376,78.36885,0.768,Residential ,0.6164,,light rain,20,1,1,0,0,12,165.35,4.26,none,low, bike,12.3,1,4.39,0.859,2959.64,42.36,49.96,15.33,1,61.657,29.875,,zepto_ops_export_v2
ZPO0059613,08/04/2026 17:31,DS0013,13.001202,80.271869,CHE-Z13,Chennai,1,12.979098,80.30938,4.75,arterial,0.3958,0.0,clear,17,2,0,0,0,10,1234.14,5.174,pass,low,ev_bike,7.2,2,5.0,0.785,467.32,58.28,39.42,33.52,1,62.464,30.14,,zepto_ops_export_v2
ZPO0076528,2026-03-21 22:28:00,DS0083,12.273057,76.609077,MYS-Z01,Mysuru,3,12.25128,76.632009,3.475,residential,0.5124,0.0,clear,22,5,0,1,0,6,379.11,0.765,none,low,bike,13.7,1,4.62,0.833,1390.63,49.68,30.61,22.5,0,83.391,40.978,,zepto_ops_export_v2
ZPO0064278,2026-02-13 21:54:00,DS0016,13.034659,77.602591,BEN-Z02,Bengaluru,1,13.025783,77.60442,1.007,highway,0.7025,0.0,clear,21,4,1,0,0,2,50.31,0.582,pass,high,bike,15.3,1,4.23,0.779,342.14,39.96,50.83,12.74,1,51.961,26.888,,zepto_ops_export_v2
ZPO0038240,2026-03-03 17:40:00,DS0020,12.913579,77.605083,BEN-Z06,Bengaluru,1,12.931134,77.5996,2.04,arterial,0.2655,0.0,clear,17,1,0,0,0,8,439.0,0.537,pass,low,bike,10.1,0,3.75,0.965,566.18,36.57,23.81,14.16,1,56.133,25.792,,zepto_ops_export_v2
ZPO0029608,2026-05-28 18:30:00,DS0009,12.989196,80.282597,CHE-Z09,Chennai,1,12.996159,80.288763,1.023,arterial,0.3474,0.0,clear,18,3,0,0,0,4,95.16,2.694,pass,low,bike,9.6,2,4.02,0.714,1266.21,24.79,50.1,15.47,1,57.169,27.446,,zepto_ops_export_v2
ZPO0021126,2026-02-21 13:02:00,DS0065,11.041438,76.943104,COI-Z02,Coimbatore,2,11.047738,76.933834,1.231,highway,0.8529,0.0,clear,13,5,1,1,0,6,583.01,1.868,none,high,bicycle,24.9,2,5.0,0.56,1400.35,44.08,29.05,20.56,1,89.784,44.287,,zepto_ops_export_v2
ZPO0060592,2026-04-27 14:49:00,DS0050,19.017356,72.852547,MUM-Z11,Mumbai,1,19.018382,72.865233,1.339,arterial,0.4142,0.0,clear,14,0,0,0,0,9,293.02,5.446,none,low,bike,10.0,2,,0.804,526.42,24.35,39.35,18.34,1,57.096,26.099,,zepto_ops_export_v2
ZPO0054324,20-Jun-2026 14:47,DS0074,9.979123,78.121505,MAD-Z03,Madurai,3,9.996855,78.117399,2.022,arterial,0.427,0.0,clear,14,5,0,1,0,6,91.05,5.158,pass,high,bike,7.9,0,4.07,0.889,1182.86,34.51,37.36,15.77,1,105.884,49.045,,zepto_ops_export_v2
ZPO0001359,2026-04-26 14:22:00,DS0041,19.073551,72.808853,MUM-Z02,Mumbai,1,19.08973,72.816364,1.965,residential,64.1%,11.87,moderate_rain,14,6,0,1,0,4,68.15,0.329,none,low,scooter,25.9,0,4.19,0.68,504.48,51.98,56.14,23.25,1,59.499,29.698,,zepto_ops_export_v2
ZPO0062932,2026-01-29 10:24:00,DS0016,13.034659,77.602591,BEN-Z02,Bengaluru,1,12.95475,77.666849,11.288,residential,0.3102,0.0,clear,10,3,0,0,0,9,560.51,4.802,none,low,ev_bike,22.2,0,4.71,0.755,934.26,135.22,101.81,57.8,0,62.558,29.855,,zepto_ops_export_v2
ZPO0068670,2026-05-31 23:12:00,DS0014,13.102544,80.255519,CHE-Z14,Chennai,1,13.098315,80.266443,1.273,arterial,0.485,0.0,clear,23,6,N,Yes,0,2,77.67,0.45,none,low,bike,7.6,3,5.0,0.911,2327.54,21.31,44.18,17.25,1,47.227,21.468,,zepto_ops_export_v2
ZPO0025583,2026-03-06 16:11:00,DS0033,17.386907,78.380612,HYD-Z05,Hyderabad,1,17.410077,78.395039,2.997,highway,0.2883,0.0,clear,16,4,0,0,0,3,53.77,1.604,-,medium,scooter,10.1,3,4.81,0.83,1258.71,41.39,60.25,20.62,0,57.633,27.81,,zepto_ops_export_v2
ZPO0068911,2026-01-29 13:25:00,DS0046,19.012064,72.903276,MUM-Z07,Mumbai,1,19.00147,72.913858,1.62,residential,0.7085,0.0,clear,13,3,1,0,FALSE,3,133.56,2.637,none,high,bike,20.9,2,4.48,0.708,1727.77,46.21,71.04,20.72,1,66.719,32.261,,zepto_ops_export_v2
ZPO0055292,2026-05-27 13:03:00,DS0024,13.065923,77.533601,BEN-Z10,BANGALORE,1,13.028417,77.569194,56.8,arterial,0.7191,0.0,clear,13,2,1,0,0,3,141.52,0.287,pass,high,bike,20.8,0,4.29,0.76,833.62,84.86,92.84,36.07,1,60.617,30.473,,zepto_ops_export_v2
ZPO0043667,03/04/2026 12:41,DS0043,19.116791,72.774727,MUM-Z04,Mumbai,1,19.081734,72.755949,4.369,arterial,0.703,5.8,Moderate_Rain,12,4,1,No,0,5,133.21,1.973,none,medium,scooter,20.7,2,4.24,0.644,1491.84,95.67,104.55,39.56,0,75.437,38.764,,zepto_ops_export_v2
ZPO0027007,01-Jun-2026 14:53,DS0018,13.000426,77.566828,BEN-Z04,Bengaluru,1,12.981648,77.57383,2.222,highway,0.3097,0.92,light_rain,14,0,0,0,0,14,483.33,12.631,none,low,bicycle ,7.8,3,4.59,0.613,507.83,42.88,55.29,31.19,0,56.336,28.558,,zepto_ops_export_v2
ZPO0008273,2026-05-31 09:56:00,DS0085,12.32021,76.658884,MYS-Z03,Mysuru,3,12.315616,76.640886,2.021,residential,0.6674,0.0,clear,9,6,1,1,0,4,226.97,1.305,pass,medium,BIKE,10.7,1,4.66,0.807,1682.55,39.08,27.15,18.76,1,111.905,59.059,,zepto_ops_export_v2
ZPO0050230,2026-03-05 20:19:00,DS0007,13.066524,80.254772,CHE-Z07,Chennai,1,13.073216,80.275617,2.377,narrow_lane,0.6791,,light_rain,20,3,1,0,0,8,90.64,1.478,none,medium,ev_bike,6.5,3,4.21,0.569,1407.3,57.68,62.9,35.46,0,64.309,31.95,,zepto_ops_export_v2
ZPO0070035,11/01/2026 11:44,DS0010,13.085855,80.271117,CHE-Z10,Chennai,1,13.071202,80.254438,2.433,residential,0.4443,0.0,clear,11,6,0,1,0,4,74.8,1.559,pass,low,bike,16.5,3,4.33,0.554,3158.7,37.54,46.24,23.07,0,63.991,31.682,,zepto_ops_export_v2
ZPO0076656,2026-03-20 07:23:00,DS0030,17.339546,78.362421,HYD-Z02,Hyderabad,1,17.353284,78.373971,1.959,Arterial ,0.2645,0.0,clear,7,4,0,0,0,2,35.0,0.768,no,low,bike,1.7,0,4.44,0.523,494.5,24.81,49.02,15.51,1,65.019,31.446,,zepto_ops_export_v2
ZPO0067641,2026-05-02 21:00:00,DS0028,12.972781,77.610699,BEN-Z14,blr ,1,12.95567,77.617228,2.03,residential,0.6642,0.0,clear,21,5,1,1,0,6,453.16,1.672,pass,high,scooter,16.0,2,4.8,0.726,2066.81,51.09,36.31,27.16,0,49.096,23.304,,zepto_ops_export_v2
ZPO0072110,2026-06-16 06:52:00,DS0012,13.168793,80.215619,CHE-Z12,Chennai,1,13.157803,80.215238,1.223,highway,,0.0,clear,6,1,0,0,0,7,284.41,11.951,pass_plus,low,bicycle,43.3,2,4.49,0.605,513.51,21.58,49.57,20.57,0,55.072,27.389,,zepto_ops_export_v2
ZPO0069273,2026-03-07 12:40:00,DS0015,13.009524,77.554209,BEN-Z01,Bengaluru,1,12.995602,77.525221,3.501,arterial,0.7753,0.0,clear,12,5,1,1,0,6,255.87,6.419,pass_plus,high,bike,21.2,1,4.21,0.719,676.41,68.21,42.37,32.84,1,52.183,25.314,,zepto_ops_export_v2
ZPO0003136,2026-04-12 22:18:00,DS0055,28.562492,77.247599,DEL-Z04,Delhi NCR,1,28.552478,77.292239,4.5,highway,0.4643,0.0,clear,22,6,0,1,0,3,168.79,1.594,none,low,bike,15.3,2,4.53,0.983,684.69,51.9,60.21,24.6,1,62.966,30.18,,zepto_ops_export_v2
ZPO0008569,2026-02-28 04:10:00,DS0047,19.065715,72.902957,MUM-Z08,Mumbai,1,19.057374,72.903971,0.934,arterial,0.5103,0.0,clear,4,5,0,1,0,5,209.55,3.699,none,low,scooter,19.5,3,3.89,0.738,1285.38,24.35,46.63,18.92,1,61.483,29.091,,zepto_ops_export_v2
ZPO0061892,2026-03-05 21:50:00,DS0014,13.102544,80.255519,CHE-Z14,Chennai,1,13.119669,80.251681,1.949,arterial,0.5605,0.0,clear,21,3,1,0,0,1,35.0,0.612,none,Medium,bike,14.7,0,4.66,0.396,1971.56,46.72,57.18,16.59,0,63.811,30.785,,zepto_ops_export_v2
ZPO0060460,2026-05-06 11:55:00,DS0078,10.773466,78.733858,TRI-Z01,Trichy,3,10.778294,78.741751,1.016,residential,0.2487,0.0,clear,11,2,0,0,0,1,35.0,0.577,none,medium,bicycle,25.0,0,,0.678,471.4,24.16,33.99,10.68,1,56.248,28.002,,zepto_ops_export_v2
ZPO0066869,18/04/2026 21:43,DS0044,19.045278,72.894492,MUM-Z05,Mumbai,1,19.069689,72.869694,3.763,arterial,0.838,3.41,light_rain,21,5,1,1,0,2,69.25,0.16,none,medium,ev_bike,17.7,2,4.41,0.844,340.58,83.18,85.44,37.76,1,57.171,28.073,,zepto_ops_export_v2
ZPO0049255,2026-04-23 18:14:00,DS0025,13.005784,77.598458,BEN-Z11,Benglore,1,12.98528,77.60077,2.294,arterial,0.4035,,clear,18,3,0,0,0,6,349.29,1.536,pass_plus,l,scooter,-999.0,2,4.73,0.421,572.85,31.87,25.69,23.97,1,55.802,25.961,,zepto_ops_export_v2
ZPO0066416,2026-03-17 20:49:00,DS0024,13.065923,77.533601,BEN-Z10,Bengaluru,1,13.105261,77.521392,4.57,residential,0.8614,8.79,mod_rain,20,1,1,0,FALSE,2,50.19,1.462,none,low,bike,7.7,1,5.0,0.622,1612.15,80.05,93.91,50.92,0,58.606,30.563,,zepto_ops_export_v2
ZPO0074098,2026-03-21 13:38:00,DS0025,13.005784,77.598458,BEN-Z11,Bengaluru,1,13.011345,77.625624,3.007,arterial,0.7753,0.0,clear,13,5,1,1,0,2,35.0,798.0,none,medium,ev_bike,,2,null,0.66,761.34,58.67,68.79,33.99,0,64.506,31.185,,zepto_ops_export_v2
ZPO0072507,15/05/2026 09:53,DS0017,12.999763,77.568869,BEN-Z03,Bengaluru,1,12.98926,77.555244,1.882,arterial,0.6449,0.0,clear,9,4,1,0,0,6,186.18,4.554,none,low,ev_bike,15.1,2,5.0,0.863,1151.7,40.78,40.51,23.47,1,66.451,31.843,,zepto_ops_export_v2
ZPO0039053,2026-05-18 21:56:00,DS0036,17.351618,78.544213,HYD-Z08,Hyderabad,1,17.343887,78.504541,4.298,highway,0.6996,0.0,clear,21,0,1,0,0,11,313.01,6.854,none,low,scooter,6.8,2,5.0,0.493,2948.81,56.66,68.42,35.91,0,23.46,11.812,,zepto_ops_export_v2
ZPO0040907,2026-02-04 16:21:00,DS0075,9.82467,78.181555,MAD-Z04,Madurai,3,9.816588,78.1891,1.221,Arterial ,0.466,0.0,clear,16,2,0,0,0,9,35.0,3.691,none,low,scooter,8.7,0,4.09,0.619,355.08,24.81,38.98,13.38,1,69.973,35.086,,zepto_ops_export_v2
